,best_mse,best_positions,time
10,0.5096437156252821,"[1.924617546512703, 1.2707897705561002, 4.12826718513356, 0.45894142139944444, 8.294001630236227, 4.0, 3.4798420173362654, 1.080305513433951, 0.7979999780654907, 2.247150729734593, -9.89889907836914, 0.11148128866524928, 5.049542128744951, 9.536131980551493, -1.1121121644973755, 0.47659342458057, 0.8435477814881981, 0.7481436031690016, 0.79457757072731, 0.6101696167747555]",134
11,0.4929322627715978,"[1.8947596047231048, 1.561327412918695, 4.112889540417377, 0.4067404328526673, 7.677517026018762, 3.4829523929150357, 2.4488902055555695, 1.0911589404879347, 3.283615643563439, 2.4241579847593915, -9.89889907836914, 0.10413065081962594, 4.994756159355398, 8.099099159240723, -1.1121121644973755, 0.6913537595321042, 0.7224002435588197, 0.8485100219870023, 0.6934139357895821, 0.44999998807907104]",144
12,0.5297355045659576,"[3.466642633208021, 2.2339383303005174, 4.245183944702148, 0.2222602256225006, 7.278561928995383, 3.474724640638477, 3.0608250855244474, 0.9666144072173665, 3.4512686609029966, 3.0798621046271095, -9.89889907836914, 0.11859135115251332, 4.5831232599088025, 9.009794135096023, -1.1121121644973755, 0.8125072122969552, 0.7097002606340288, 0.44999998807907104, 0.6686855907077689, 0.44999998807907104]",146
13,0.5298829887561723,"[1.4402961273314963, 0.9755474713355675, 4.245183944702148, 0.10296838364228764, 7.676810062347758, 3.2686540658565044, 3.8106416399086314, 0.8804921118944675, 2.3367347586791247, 1.5195886774217369, -9.89889907836914, 0.10877976989635088, 5.128959725753784, 8.416338660350263, -1.1121121644973755, 0.5853901075833559, 0.8182613938453388, 0.45346010397146536, 0.44999998807907104, 0.6326501063502457]",98
14,0.5282888457120041,"[2.5129179334566043, 0.18345989945070162, 4.245183944702148, 0.10000000149011612, 9.036843299865723, 3.053032137882509, 1.4315358434456917, 0.7979999780654907, 1.7461223666639665, 2.785248021194027, -9.89889907836914, 0.11135768943577085, 4.910933171171798, 9.418217466809583, -1.1121121644973755, 0.7180921185337532, 0.7635307428989342, 0.635918460834782, 0.8630873147309637, 0.4942722974700528]",93
15,0.5290490362891395,"[0.8579153959918973, 0.42768364867840525, 4.245183944702148, 0.4271212607176171, 9.036843299865723, 2.743313859867339, 3.4116696428152893, 0.7979999780654907, 2.3223570223837013, 2.314160399039742, -9.89889907836914, 0.10850335905818367, 4.813063234153179, 8.275847943640496, -1.1121121644973755, 0.5965574428654126, 0.5229790810268001, 0.8082396213012257, 0.5977868758301684, 0.44999998807907104]",122
16,0.49230643599804597,"[2.3423144969405816, 1.8797976099795348, 3.73455924280874, 0.3087458164394056, 7.266825317872817, 2.7982221022140203, 1.877782509433525, 1.206681193586779, 4.0, 2.0037314578375125, -9.89889907836914, 0.11935626728429864, 4.853391537730693, 9.194762321155498, -1.1121121644973755, 0.5746512078995375, 0.6401843010321354, 0.4667542636357073, 0.6614449034061011, 0.44999998807907104]",88
17,0.5717220930117247,"[3.1332427741385875, 1.7722905792915353, 4.245183944702148, 0.8812159182080193, 8.440024149248575, 2.750931643249355, 1.7815679972376441, 0.9672073163435766, 2.1235165398388176, 1.1475375359799191, -9.89889907836914, 0.11930957676458566, 5.2352512457196925, 9.872948857656455, -1.1121121644973755, 0.7050187380624459, 0.8873985914888576, 0.5146305163967945, 0.5737204604685852, 0.44999998807907104]",60
18,0.5453613175976058,"[3.343057425636238, 1.997028702390386, 4.239600824904046, 0.1704331902539612, 8.798339104938284, 4.0, 1.805226174502769, 0.8027850264630215, 2.396482688415202, 2.0619010333831396, -9.89889907836914, 0.1211211234331131, 4.875573391680733, 8.136687118084387, -1.1121121644973755, 0.7358819667157849, 0.673281347973016, 0.44999998807907104, 0.44999998807907104, 0.5204928711482086]",114
19,0.6080187872782765,"[1.9870736911340499, 0.8781596168986829, 4.245183944702148, 0.1672309808244739, 9.036843299865723, 4.0, 4.0, 1.4301701549748576, 4.0, 1.899633717739383, -9.89889907836914, 0.10177487779376429, 5.0215932875390905, 9.89889907836914, -1.1121121644973755, 0.5746251929927804, 0.9944312676448553, 0.9639246483587166, 0.6002163259148833, 0.5264250308381497]",65
